dimension,comparison,agreement_rate,cohen_kappa
victim_blaming,regex_spacy,0.9968553459119497,0.9800976342470897
victim_blaming,spacy_stanza,0.9968553459119497,0.9794174757281553
victim_blaming,regex_stanza,0.9937106918238994,0.9595316874522779
victim_blaming,all_three,0.9937106918238994,
justification,regex_spacy,0.949685534591195,0.8996093287557713
justification,spacy_stanza,0.8805031446540881,0.7636242713508861
justification,regex_stanza,0.9308176100628931,0.8607095926412616
justification,all_three,0.8805031446540881,
tone,regex_spacy,0.9968553459119497,0.9944968417409362
tone,spacy_stanza,0.9591194968553459,0.9294310441952169
tone,regex_stanza,0.9559748427672956,0.9239130434782609
tone,all_three,0.9559748427672956,
